"_tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopicsList","primaryLanguage","languagesList","diskUsage","relatedTopicsList"
"[""hololens"",""microsoft""]","2016-11-22T05:19:01Z","10UWP/Augmented-Reality-Hololens",14,"microsoft hololens data visualization","null","null","null",13,"null"
"[""unity""]","2020-05-01T00:55:06Z","2000222/Robotic-Arm-IK-in-Unity",3,"robotic arm immersive kinetics in unity for the mixedreality robot teleoperation system","null","C#","[""C#""]",795,"null"
"[""app"",""framework"",""ionic""]","2017-03-16T18:54:17Z","4refr0nt/ARplus",6,"augmented reality demo mobile app","[""ionic"",""ionic-framework"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""esp8266""]","JavaScript","[""Batchfile"",""Arduino"",""JavaScript"",""Java"",""Objective-C"",""C"",""QML"",""C++"",""C#"",""HTML"",""CSS"",""Objective-C++""]",30680,"[""angular"",""typescript"",""angularjs"",""angular2"",""angular"",""typescript"",""angularjs"",""angular2"",""ionic"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""api"",""http"",""rest-api"",""rest"",""swagger"",""arduino"",""raspberry-pi"",""esp32"",""bluetooth""]"
"[""spatial""]","2018-11-12T22:37:47Z","5un/MagicLeap-EyesForTheBlind",4,"use magic leaps spatial computing abilities to help the visually impaired navigate around unfamiliar environments","null","C#","[""C#"",""ShaderLab""]",460156,"null"
"[""opencv"",""opencv-python"",""python""]","2019-02-22T15:47:32Z","ABHINAV112/SkyWriting",4,"rollercoaster program to write text in the air with finger and then save it in a text file","[""python3"",""opencv-python"",""ocr-recognition"",""flask"",""augmented-reality""]","Python","[""Python"",""CSS"",""JavaScript"",""HTML""]",41147,"[""python"",""crawler"",""scraper"",""spider"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""python"",""python3"",""asyncio"",""python-3"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""aframe"",""threejs"",""tracking"",""web"",""webar""]","2020-02-28T09:03:36Z","AR-js-org/AR.js",2445,"image tracking location based ar marker tracking all on the web","[""augmented-reality"",""webar"",""ar"",""aframe"",""threejs"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""Makefile"",""HTML"",""JavaScript"",""CSS"",""Brainfuck"",""C"",""Forth"",""GAP""]",176175,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""aframe"",""threejs"",""web"",""webar""]","2019-12-23T10:54:36Z","AR-js-org/studio",151,"an authoring platform to build web augmented reality experiences without coding knowledge","[""ar"",""augmented-reality"",""aframe"",""threejs"",""authoring"",""webar"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""HTML"",""CSS"",""JavaScript""]",112802,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""golang"",""go"",""golang-library"",""gin"",""golang-package"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""ar-studio"",""arjs""]","2019-12-23T10:59:33Z","AR-js-org/studio-backend",33,"backend of arjs studio project ","[""ar"",""augmented-reality"",""ar-studio"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""JavaScript"",""Shell"",""Handlebars""]",3442,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""facebook"",""firebase"",""game"",""ios"",""react"",""react-native"",""viro""]","2017-12-01T01:59:59Z","ARKrew/workingArgo",6,"argo  mobile ar game for ios","[""augmented-reality"",""viro"",""react-native"",""redux"",""react-navigation"",""firebase"",""firebase-database"",""firebase-auth"",""firebase-functions"",""facebook-login""]","Objective-C","[""JavaScript"",""Python"",""Java"",""Objective-C"",""Ruby"",""Shell"",""C""]",159244,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""reactjs"",""android"",""ios"",""react"",""mobile"",""javascript"",""react"",""reactjs"",""hooks"",""react-hooks"",""typescript"",""react-native"",""android"",""ios"",""react"",""mobile"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""api"",""sdk"",""facebook"",""wrapper"",""google""]"
"[]","2018-10-02T00:11:21Z","ARPOISE/ARpoise",11,"arpoise  augmented reality point of interest service environment","null","C#","[""C#"",""C"",""Makefile"",""PHP"",""HTML"",""JavaScript"",""CSS"",""ShaderLab"",""Objective-C++"",""Objective-C"",""HLSL""]",126507,"null"
"[""arkit""]","2017-08-16T19:20:13Z","ARUnityBook/ARBook-ARKit",8,"projects from the book augmented reality for developers  arkit implementations","null","C#","[""C#"",""ShaderLab"",""Objective-C++""]",27081,"null"
"[""unity""]","2017-11-10T19:20:02Z","ARUnityBook/ARBook-ARUnity",12,"projects from the book augmented reality for developers  unity arinterface version","null","C#","[""C#"",""ShaderLab"",""HLSL"",""Objective-C++""]",97152,"null"
"[""vuforia""]","2017-08-14T20:38:07Z","ARUnityBook/ARBook-Vuforia",18,"projects from the book augmented reality for developers  vuforia implementations","null","C#","[""C#"",""ShaderLab"",""JavaScript""]",110284,"null"
"[""arcore"",""toolkit"",""unity""]","2018-02-27T06:16:34Z","ARX-SKE12/ARCoreToolkit-Unity",4,"toolkit for arcore in unity platform based on example of arcore","[""arcore"",""arcore-unity"",""ar"",""augmented"",""augmented-reality"",""tool"",""toolkit""]","C#","[""GLSL"",""C#"",""ShaderLab""]",4999,"[""kafka"",""spark"",""java"",""scala"",""big-data"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""cli"",""developer-tools"",""tools"",""notifications"",""cli"",""developer-tools"",""tool"",""tools"",""notifications""]"
"[]","2020-09-15T14:29:27Z","ARgorithm/toolkit",6,"visualize your data structures in augmented reality","[""ar-representation"",""pypip""]","Python","[""Makefile"",""Python"",""Dockerfile""]",2501,"null"
"[]","2017-11-23T15:09:21Z","ARjs-org/location-based-ar",17,"experimentation about locationbased augmented reality","null","HTML","[""JavaScript"",""HTML""]",206,"null"
