"Tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""hololens""]","2016-11-22T05:19:01Z","10UWP/Augmented-Reality-Hololens",14,"Microsoft Hololens Data Visualization","null","null","null",13,"null"
"[""mixed-reality"",""unity""]","2020-05-01T00:55:06Z","2000222/Robotic-Arm-IK-in-Unity",3,"Robotic Arm Immersive Kinetics in Unity for the Mixed-Reality Robot Teleoperation system.","null","C#","null",795,"null"
"[""app"",""ionic"",""phone""]","2017-03-16T18:54:17Z","4refr0nt/ARplus",6,"Augmented Reality Demo phone app","null","JavaScript","null",30680,"null"
"[""magicleap"",""spatial""]","2018-11-12T22:37:47Z","5un/MagicLeap-EyesForTheBlind",4,"magicleap Use Magic Leap's spatial computing abilities to help the visually impaired navigate around unfamiliar environments","null","C#","null",460156,"null"
"[""flask"",""opencv""]","2019-02-22T15:47:32Z","ABHINAV112/SkyWriting",4,":roller_coaster: program to write text in the air with finger and then save it in a text file","null","Python","null",41147,"null"
"[""a-frame"",""ar-js"",""marker"",""three-js"",""web"",""webar""]","2020-02-28T09:03:36Z","AR-js-org/AR.js",2445,"ar-js Image tracking, Location Based AR, Marker tracking. All on the Web .","null","JavaScript","null",176175,"null"
"[""a-frame"",""ar-js"",""three-js"",""web"",""webar""]","2019-12-23T10:54:36Z","AR-js-org/studio",151,"ar-js An authoring platform to build Web Augmented Reality experiences, without coding knowledge","null","JavaScript","null",112802,"null"
"[""ar-js""]","2019-12-23T10:59:33Z","AR-js-org/studio-backend",33,"ar-js Backend of AR.js studio project. ","null","JavaScript","null",3442,"null"
"[""firebase"",""ios"",""phone"",""react-native"",""redux"",""viromedia""]","2017-12-01T01:59:59Z","ARKrew/workingArgo",6,"Argo | phone AR Game for iOS","null","Objective-C","null",159244,"null"
"[]","2018-10-02T00:11:21Z","ARPOISE/ARpoise",11,"ARpoise - Augmented Reality point of interest service environment","null","C#","null",126507,"null"
"[""arkit""]","2017-08-16T19:20:13Z","ARUnityBook/ARBook-ARKit",8,"Projects from the book ""Augmented Reality for Developers"" - ARKit implementations","null","C#","null",27081,"null"
"[""unity""]","2017-11-10T19:20:02Z","ARUnityBook/ARBook-ARUnity",12,"Projects from the book ""Augmented Reality for Developers"" - Unity ARInterface version","null","C#","null",97152,"null"
"[""vuforia""]","2017-08-14T20:38:07Z","ARUnityBook/ARBook-Vuforia",18,"Projects from the book ""Augmented Reality for Developers"" - Vuforia implementations","null","C#","null",110284,"null"
"[""arcore"",""unity""]","2018-02-27T06:16:34Z","ARX-SKE12/ARCoreToolkit-Unity",4,"Toolkit for ARCore in Unity Platform based on Example of ARCore","null","C#","null",4999,"null"
"[]","2020-09-15T14:29:27Z","ARgorithm/toolkit",6,"Visualize your data structures in augmented reality","null","Python","null",2501,"null"
"[""ar-js""]","2017-11-23T15:09:21Z","ARjs-org/location-based-ar",17,"ar-js Experimentation about location-based Augmented Reality","null","HTML","null",206,"null"
"[""marker"",""vuforia""]","2017-02-06T16:29:35Z","ASPePeX/AR-Marker-Generator",21,"marker A processing sketch that generates marker for Augmented Reality applications like Vuforia.","null","Processing","null",165,"null"
"[""app"",""vr""]","2019-01-09T18:48:04Z","Aayush005/ARravel",3,"AN AR+ VR travel app that converts 2 image intoa 3D model of mixed reality (AR+VR)","null","Java","null",5629,"null"
"[]","2018-03-16T22:44:47Z","Abhey/Vision",5,"Vision is your Augmented Reality (AR) assistant which encompasses multiple features and provides a hassle-free User Interface","null","C#","null",237514,"null"
"[]","2019-03-19T15:54:05Z","AccionaMixedReality/acciona.mlutils",3,"Some powerfull extra tools for Magic Leap development with Unity, made by the Advanced and Digital Innovation Hub from Acciona S.A.","null","C#","null",1633,"null"
"[""app"",""arkit"",""ios"",""ipados"",""swift""]","2017-06-10T23:04:52Z","AcroMace/DreamBig",23,"☁🌝☁ 3D emoji drawing ipados app with ARKit and the Apple Pencil ☁🌝☁","null","Swift","null",804,"null"
"[""unity""]","2018-01-16T20:40:47Z","ActiveNick/AzureStorageDemoUnity3D",5,"Sample Unity project used to demonstrate the use of Azure Storage services in games and Mixed Reality projects.","null","C#","null",198722,"null"
