"tags","createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"[""n"",""u"",""l"",""l""]","2016-11-22T05:19:01Z","10UWP/Augmented-Reality-Hololens",14,"Microsoft Hololens Data Visualization","null","null","null",13,"null"
"[""n"",""u"",""l"",""l""]","2020-05-01T00:55:06Z","2000222/Robotic-Arm-IK-in-Unity",3,"Robotic Arm Immersive Kinetics in Unity for the Mixed-Reality Robot Teleoperation system.","null","C#","[""C#""]",795,"null"
"[""mobile"",""app"",""ionic"",""ionic-framework"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""esp8266""]","2017-03-16T18:54:17Z","4refr0nt/ARplus",6,"Augmented Reality Demo mobile app","[""ionic"",""ionic-framework"",""augmented-reality"",""augmented-reality-applications"",""augmentedreality"",""esp8266""]","JavaScript","[""Batchfile"",""Arduino"",""JavaScript"",""Java"",""Objective-C"",""C"",""QML"",""C++"",""C#"",""HTML"",""CSS"",""Objective-C++""]",30680,"[""angular"",""typescript"",""angularjs"",""angular2"",""angular"",""typescript"",""angularjs"",""angular2"",""ionic"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""api"",""http"",""rest-api"",""rest"",""swagger"",""arduino"",""raspberry-pi"",""esp32"",""bluetooth""]"
"[""spatial"",""help"",""n"",""u"",""l"",""l""]","2018-11-12T22:37:47Z","5un/MagicLeap-EyesForTheBlind",4,"Use Magic Leap's spatial computing abilities to help the visually impaired navigate around unfamiliar environments","null","C#","[""C#"",""ShaderLab""]",460156,"null"
"[""text"",""text"",""python3"",""opencv-python"",""ocr-recognition"",""flask"",""augmented-reality""]","2019-02-22T15:47:32Z","ABHINAV112/SkyWriting",4,":roller_coaster: program to write text in the air with finger and then save it in a text file","[""python3"",""opencv-python"",""ocr-recognition"",""flask"",""augmented-reality""]","Python","[""Python"",""CSS"",""JavaScript"",""HTML""]",41147,"[""python"",""crawler"",""scraper"",""spider"",""opencv"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""python"",""python3"",""asyncio"",""python-3"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"[""augmented-reality"",""webar"",""ar"",""aframe"",""threejs"",""hacktoberfest"",""hacktoberfest2020""]","2020-02-28T09:03:36Z","AR-js-org/AR.js",2445,"Image tracking, Location Based AR, Marker tracking. All on the Web.","[""augmented-reality"",""webar"",""ar"",""aframe"",""threejs"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""Makefile"",""HTML"",""JavaScript"",""CSS"",""Brainfuck"",""C"",""Forth"",""GAP""]",176175,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""authoring"",""knowledge"",""ar"",""augmented-reality"",""aframe"",""threejs"",""authoring"",""webar"",""hacktoberfest"",""hacktoberfest2020""]","2019-12-23T10:54:36Z","AR-js-org/studio",151,"An authoring platform to build Web Augmented Reality experiences, without coding knowledge","[""ar"",""augmented-reality"",""aframe"",""threejs"",""authoring"",""webar"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""HTML"",""CSS"",""JavaScript""]",112802,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""opengl"",""graphics"",""webgl"",""3d"",""vulkan"",""golang"",""go"",""golang-library"",""gin"",""golang-package"",""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""studio"",""ar"",""augmented-reality"",""ar-studio"",""hacktoberfest"",""hacktoberfest2020""]","2019-12-23T10:59:33Z","AR-js-org/studio-backend",33,"Backend of AR.js studio project. ","[""ar"",""augmented-reality"",""ar-studio"",""hacktoberfest"",""hacktoberfest2020""]","JavaScript","[""JavaScript"",""Shell"",""Handlebars""]",3442,"[""vscode"",""vscode-extension"",""javascript"",""typescript"",""hacktoberfest"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""elixir"",""python"",""erlang"",""elm"",""hacktoberfest"",""gpu"",""cuda"",""ember""]"
"[""augmented-reality"",""viro"",""react-native"",""redux"",""react-navigation"",""firebase"",""firebase-database"",""firebase-auth"",""firebase-functions"",""facebook-login""]","2017-12-01T01:59:59Z","ARKrew/workingArgo",6,"Argo | Mobile AR Game for iOS","[""augmented-reality"",""viro"",""react-native"",""redux"",""react-navigation"",""firebase"",""firebase-database"",""firebase-auth"",""firebase-functions"",""facebook-login""]","Objective-C","[""JavaScript"",""Python"",""Java"",""Objective-C"",""Ruby"",""Shell"",""C""]",159244,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""reactjs"",""android"",""ios"",""react"",""mobile"",""javascript"",""react"",""reactjs"",""hooks"",""react-hooks"",""typescript"",""react-native"",""android"",""ios"",""react"",""mobile"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""api"",""sdk"",""facebook"",""wrapper"",""google""]"
"[""n"",""u"",""l"",""l""]","2018-10-02T00:11:21Z","ARPOISE/ARpoise",11,"ARpoise - Augmented Reality point of interest service environment","null","C#","[""C#"",""C"",""Makefile"",""PHP"",""HTML"",""JavaScript"",""CSS"",""ShaderLab"",""Objective-C++"",""Objective-C"",""HLSL""]",126507,"null"
