"createdAt","nameWithOwner","stargazerCount","description","repositoryTopics_list","primaryLanguage","languages_list","diskUsage","relatedTopics_list"
"2018-05-27T21:15:27Z","00111000/City-of-Calgary-2018",2,":phone: :movie_camera: :art: Theme: ""Pedestrian Comfort - Play"". Augmented Reality application to show art in real-time in real-size.","[""c-sharp"",""cpp"",""art"",""art-piece"",""calgary"",""city"",""safety"",""street"",""citizens"",""dataset"",""health"",""community-boundaries-dataset"",""unity"",""unity3d"",""augmented-reality"",""arcore""]","C#","[""C#"",""ShaderLab"",""Objective-C++""]",113593,"[""windows"",""powershell"",""xamarin"",""csharp"",""c-plus-plus"",""qt"",""c"",""cmake"",""image"",""svg"",""image-processing"",""icons"",""font"",""gis"",""map"",""maps"",""geospatial"",""openstreetmap"",""angular"",""typescript"",""angularjs"",""angular2"",""ionic"",""markdown"",""electron"",""notes"",""electron-app"",""desktop"",""python"",""ocr"",""pytorch"",""speech-recognition"",""sketch"",""firebase"",""covid-19"",""search"",""coronavirus"",""search-engine"",""game"",""unity3d"",""game-development"",""gamedev"",""game"",""unity"",""game-development"",""gamedev"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""kafka"",""spark"",""java"",""scala"",""big-data""]"
"2020-09-05T16:31:46Z","05rs/Sudoku_AR",1,"Sudoku Solver AR is an augmented reality Sudoku solver. It captures video using a camera, finds Sudoku puzzles in the photo, and then displays answers to those puzzles in such a way that they look like they are part of the original scene.","[""sudoku-ar"",""finds-sudoku-puzzles"",""sudoku-solver"",""sudoku-solver-opencv"",""opencv"",""cifar10"",""cnn"",""datagenerator""]","Jupyter Notebook","[""Jupyter Notebook""]",78094,"[""linux"",""ansible"",""ubuntu"",""debian"",""vagrant"",""c"",""cpp"",""java"",""python"",""computer-vision"",""object-detection"",""deep-learning"",""tensorflow"",""pytorch"",""deep-learning"",""computer-vision"",""gan"",""generative-adversarial-network"",""deep-learning"",""tensorflow"",""keras"",""machine-learning"",""convolutional-neural-networks""]"
"2017-09-25T09:20:11Z","0x106/AR-Teaching",2,"arkit teaching & learning resources","[""arkit"",""swift"",""teaching"",""augmented-reality""]","Swift","[""Swift""]",516,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""language"",""objective-c"",""ios"",""cocoapods"",""xcode"",""tutorial"",""learning"",""education"",""example"",""godot"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode""]"
"2018-10-24T02:58:25Z","0x106/FaceRecognitionAR",1,"Face Recognition for Augmented Reality on iOS","null","C++","[""Swift"",""CMake"",""C++"",""Objective-C++"",""C"",""Cuda"",""Shell"",""Java"",""MATLAB"",""Batchfile"",""Makefile""]",101342,"null"
"2018-02-26T02:07:25Z","0x106/Nebula-Beta",1,"Augmented Reality Testing Platform","[""augmented-reality"",""unity""]","C#","[""C#""]",9,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""game"",""unity3d"",""game-development"",""gamedev""]"
"2016-11-22T05:19:01Z","10UWP/Augmented-Reality-Hololens",14,"Microsoft Hololens Data Visualization","null","null","null",13,"null"
"2020-02-29T12:58:56Z","11PRINCE/IndoorNAV",1,"Augmented Reality based Indoor Navigation App","null","C#","[""C#"",""ShaderLab"",""HLSL"",""HTML"",""CSS"",""Objective-C++""]",101915,"null"
"2019-11-12T23:44:15Z","11emilia11/RealidadeAumentada",2,"Food ingredient tracker system made with Augmented Reality.","null","null","null",25320,"null"
"2016-01-06T04:38:44Z","12xq4/ARMusicPlayer",1,"This is a personal take on augmented reality with Unity and Vuforia. I have decided to work on this as an experiment with marker based AR and see what i can evolve into.","null","C#","[""Java"",""JavaScript"",""C"",""Objective-C++"",""Objective-C"",""C#"",""GLSL""]",85331,"null"
"2019-08-02T06:28:55Z","17BIT0216/Augmented-Reality-Newspaper",1,"An Augmented reality iOS newspaper built using SceneKit.","[""swift-3"",""newspaper-ar"",""augmented-reality-applications"",""ios-swift"",""ios""]","Swift","[""Swift""]",56918,"[""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""python"",""telegram"",""bot"",""telegram-bot"",""rss"",""swift"",""ios"",""objective-c"",""cocoapods"",""xcode"",""swift"",""objective-c"",""cocoapods"",""xcode""]"
"2018-02-08T06:33:29Z","17bixin/ARCam",1,"ARCam is an augmented reality camera that offers a fun new way to snap your photos and videos.","null","Swift","[""Swift""]",3240,"null"
"2019-05-02T04:21:42Z","1902capstone/vaporwaveArcade",1,"An augmented reality mobile app featuring three games and a leaderboard.","null","JavaScript","[""JavaScript"",""Python"",""Java"",""Objective-C"",""Shell"",""Ruby""]",65745,"null"
"2020-05-01T00:55:06Z","2000222/Robotic-Arm-IK-in-Unity",3,"Robotic Arm Immersive Kinetics in Unity for the Mixed-Reality Robot Teleoperation system.","null","C#","[""C#""]",795,"null"
"2020-05-16T02:14:55Z","21WANGC/PyPool",1,"PyPool - augmented reality pool shot trajectory overlay","null","Python","[""Python"",""Makefile"",""Jupyter Notebook""]",9354,"null"
"2019-03-09T00:16:07Z","2D/STARThack",1,"Augmented Reality Project → Leica challenge @START_Hack ","null","C#","[""Jupyter Notebook"",""Python"",""C#"",""ShaderLab"",""Objective-C++""]",15122,"null"
"2018-01-15T13:41:41Z","3Dmaps/3Dmaps",2,"3DMaps in augmented reality. Software production project course / Univ. of Helsinki, spring 2018","null","C#","[""C#""]",138729,"null"
"2019-12-12T22:41:21Z","3ch01c/ingress-decoding-13archetypes",2,"Walkthroughs for the 13 Archetypes challenges for the augmented reality game Ingress","null","Shell","[""Dockerfile"",""Shell""]",5,"null"
"2016-04-05T22:52:23Z","3ch01c/ingress-utils",2,"Utils for the augmented reality game Ingress","null","Shell","[""Shell""]",2,"null"
"2019-04-23T13:51:45Z","3iAR/3iar.github.io",1," 2019 Workshop on 3D Reconstruction and Interactive Augmented Reality ","null","TeX","[""HTML"",""Ruby"",""TeX"",""CSS""]",952,"null"
